Date,Time,VRATE,PBLH,WIND_SPEED(GUST),PRATE,Temp,pixelID,lat,lon,u10,v10,u20,v20,u30,v30,u40,v40,u50,v50,u80,v80,u100,v100,file
2023-01-03,6,3000,0,2.2,0,310.6334,C,14,100.5,-0.23999757,-0.26167238,-0.27875,-0.29521483,-0.3000415,-0.32824707,-0.3486621,-1.9372265,-1.7507715,-1.816123,-1.8429956,-1.8759179,-1.9264892,-1.9416285,gfs.0p25.2023010306.f000.grib2
2023-01-03,6,4000,0,3,0,310.6334,D,13.75,100.25,-0.67999756,-0.66167235,-0.70875,-0.72521484,-0.7500415,-0.78824705,-0.8086621,-2.7872267,-2.4807715,-2.576123,-2.6429956,-2.6759179,-2.7364893,-2.7716284,gfs.0p25.2023010306.f000.grib2
2023-01-03,12,4000,0,3.5082092,0,303.3234,A,13.75,100.5,-0.92903566,-1.1461622,-1.2776513,-1.3792187,-1.450791,-1.6096143,-1.696355,-2.8478956,-3.103257,-3.4100146,-3.6001196,-3.70406,-3.9015112,-3.9547265,gfs.0p25.2023010312.f000.grib2
2023-01-03,12,2000,0,6.4082093,0,300.52338,B,13.75,100.75,-3.1290357,-3.556162,-3.9876513,-4.3192186,-4.560791,-5.159614,-5.466355,-1.0878955,-1.2632568,-1.4200146,-1.5301197,-1.60406,-1.7915112,-1.8947265,gfs.0p25.2023010312.f000.grib2
2023-01-03,12,4000,0,7.008209,0,301.3234,C,14,100.5,-1.1090356,-1.3561621,-1.5276513,-1.6592188,-1.770791,-2.0296142,-2.166355,-5.4478955,-6.003257,-6.6200147,-7.0401196,-7.35406,-7.9915113,-8.264727,gfs.0p25.2023010312.f000.grib2
2023-01-03,12,4000,0,8.708209,0,299.12338,D,13.75,100.25,-0.14903565,-0.3461621,-0.43765137,-0.51921874,-0.590791,-0.79961425,-0.936355,-5.1678953,-5.753257,-6.3900146,-6.8301196,-7.15406,-7.8715115,-8.194727,gfs.0p25.2023010312.f000.grib2
2023-01-03,18,1000,0,2.326538,0,300.71432,A,13.75,100.5,-0.86820066,-0.98213625,-1.076587,-1.1395606,-1.180371,-1.2445825,-1.2568432,-1.934065,-2.0692945,-2.247937,-2.3499928,-2.4099586,-2.4989722,-2.500774,gfs.0p25.2023010318.f000.grib2
2023-01-03,18,0,0,3.626538,0,298.61432,B,13.75,100.75,-1.3282007,-1.4921362,-1.6365869,-1.7495606,-1.8503711,-2.1445825,-2.2668433,-1.6140649,-1.7692944,-1.917937,-2.0199926,-2.1099584,-2.338972,-2.420774,gfs.0p25.2023010318.f000.grib2
2023-01-03,18,2000,0,6.826538,0,299.01434,C,14,100.5,-1.7082007,-2.0021362,-2.2465868,-2.4195604,-2.5403712,-2.8445826,-2.9768434,-3.7140648,-4.1292944,-4.577937,-4.8599925,-5.0599585,-5.438972,-5.580774,gfs.0p25.2023010318.f000.grib2
2023-01-03,18,2000,0,6.526538,0,298.41434,D,13.75,100.25,-0.6482007,-0.85213625,-0.9965869,-1.1195606,-1.2203711,-1.4745826,-1.6368432,-3.524065,-3.9192944,-4.367937,-4.6599927,-4.8699584,-5.3289723,-5.540774,gfs.0p25.2023010318.f000.grib2
2023-01-04,0,1000,0,4.419986,0,297.53662,A,13.75,100.5,-0.18189819,-0.2934668,-0.34493652,-0.38358155,-0.42225343,-0.51158446,-0.5622314,-3.101438,-3.443396,-3.7994752,-4.0204906,-4.169214,-4.4352293,-4.508401,gfs.0p25.2023010400.f000.grib2
2023-01-04,0,0,0,2.019986,0,295.03662,B,13.75,100.75,-0.5318982,-0.5434668,-0.5649365,-0.5735815,-0.5722534,-0.5315845,-0.52223146,-1.701438,-1.863396,-2.019475,-2.1204908,-2.1892138,-2.3252294,-2.3584008,gfs.0p25.2023010400.f000.grib2
